Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
96,Dante Cunningham,SF,29,NOP,66,35,1649,174,359,0.485,71,181,0.392,103,178,0.579,0.584,16,27,0.593,56,221,277,37,39,28,28,100,435
97,Seth Curry,PG,26,DAL,70,42,2029,338,703,0.481,137,322,0.425,201,381,0.528,0.578,85,100,0.85,25,154,179,189,79,7,92,126,898
98,Stephen Curry,PG,28,GSW,79,79,2638,675,1443,0.468,324,789,0.411,351,654,0.537,0.58,325,362,0.898,61,292,353,524,142,17,239,183,1999
99,Troy Daniels,SG,25,MEM,67,3,1183,185,495,0.374,138,355,0.389,47,140,0.336,0.513,43,54,0.796,22,78,100,46,20,4,45,90,551
100,Anthony Davis,C,23,NOP,75,75,2708,770,1526,0.505,40,134,0.299,730,1392,0.524,0.518,519,647,0.802,172,712,884,157,94,167,181,168,2099
101,Deyonta Davis,C,20,MEM,36,0,238,24,47,0.511,0,0,,24,47,0.511,0.511,10,18,0.556,20,40,60,2,3,17,8,40,58
102,Ed Davis,PF,27,POR,46,12,789,75,142,0.528,0,0,,75,142,0.528,0.528,50,81,0.617,96,148,244,26,15,22,37,137,200
103,Dewayne Dedmon,C,27,SAS,76,37,1330,161,259,0.622,0,0,,161,259,0.622,0.622,65,93,0.699,129,367,496,44,37,61,61,180,387
104,Sam Dekker,SF,22,HOU,77,2,1419,203,429,0.473,60,187,0.321,143,242,0.591,0.543,38,68,0.559,94,190,284,76,38,21,41,83,504
105,Malcolm Delaney,PG,27,ATL,73,2,1248,145,388,0.374,26,110,0.236,119,278,0.428,0.407,75,93,0.806,10,113,123,193,39,1,95,112,391
106,Matthew Dellavedova,PG,26,MIL,76,54,1986,208,534,0.39,79,215,0.367,129,319,0.404,0.463,82,96,0.854,24,123,147,357,53,0,133,153,577
107,Luol Deng,SF,31,LAL,56,49,1486,164,424,0.387,51,165,0.309,113,259,0.436,0.447,46,63,0.73,63,232,295,74,48,20,43,61,425
108,DeMar DeRozan,SG,27,TOR,74,74,2620,721,1545,0.467,33,124,0.266,688,1421,0.484,0.477,545,647,0.842,70,316,386,290,78,13,180,134,2020
109,Cheick Diallo,PF,20,NOP,17,0,199,36,76,0.474,0,0,,36,76,0.474,0.474,15,21,0.714,23,50,73,4,4,7,7,17,87
110,Boris Diaw,PF,34,UTA,73,33,1283,146,327,0.446,20,81,0.247,126,246,0.512,0.477,26,35,0.743,46,112,158,170,18,9,87,83,338
111,Gorgui Dieng,PF,27,MIN,82,82,2653,332,661,0.502,16,43,0.372,316,618,0.511,0.514,136,167,0.814,188,459,647,158,88,95,107,254,816
112,Spencer Dinwiddie,PG,23,BRK,59,18,1334,134,302,0.444,38,101,0.376,96,201,0.478,0.507,126,159,0.792,27,137,164,185,44,23,66,119,432
113,Toney Douglas,PG,30,MEM,24,0,394,43,117,0.368,7,42,0.167,36,75,0.48,0.397,24,29,0.828,13,48,61,56,18,5,21,50,117
114,Goran Dragic,PG,30,MIA,73,73,2459,534,1124,0.475,117,289,0.405,417,835,0.499,0.527,298,377,0.79,62,217,279,423,89,13,212,199,1483
115,Andre Drummond,C,23,DET,81,81,2409,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,770,1115,90,124,89,152,237,1105
116,Jared Dudley,PF,31,PHO,64,7,1362,157,346,0.454,77,203,0.379,80,143,0.559,0.565,43,65,0.662,31,194,225,121,42,16,73,154,434
117,Mike Dunleavy,SF,36,TOT,53,2,841,93,220,0.423,53,134,0.396,40,86,0.465,0.543,36,45,0.8,18,97,115,50,15,7,28,67,275
117,Mike Dunleavy,SF,36,CLE,23,2,366,36,90,0.4,20,57,0.351,16,33,0.485,0.511,14,19,0.737,5,42,47,20,6,2,14,32,106
117,Mike Dunleavy,SF,36,ATL,30,0,475,57,130,0.438,33,77,0.429,24,53,0.453,0.565,22,26,0.846,13,55,68,30,9,5,14,35,169
118,Kris Dunn,PG,22,MIN,78,7,1333,118,313,0.377,21,73,0.288,97,240,0.404,0.411,36,59,0.61,24,142,166,188,78,36,89,178,293
119,Kevin Durant,SF,28,GSW,62,62,2070,551,1026,0.537,117,312,0.375,434,714,0.608,0.594,336,384,0.875,39,474,513,300,66,99,138,117,1555
120,Jarell Eddie,SF,25,PHO,5,0,62,6,19,0.316,4,16,0.25,2,3,0.667,0.421,8,9,0.889,1,6,7,0,1,0,1,1,24
121,Henry Ellenson,PF,20,DET,19,2,146,23,64,0.359,10,35,0.286,13,29,0.448,0.438,4,8,0.5,8,33,41,7,1,1,14,6,60
122,Wayne Ellington,SG,29,MIA,62,13,1500,231,555,0.416,149,394,0.378,82,161,0.509,0.55,37,43,0.86,18,114,132,70,35,4,30,70,648
123,Monta Ellis,SG,31,IND,74,33,1998,247,557,0.443,43,135,0.319,204,422,0.483,0.482,93,128,0.727,19,185,204,236,78,27,135,149,630
124,Joel Embiid,C,22,PHI,31,31,786,200,429,0.466,36,98,0.367,164,331,0.495,0.508,191,244,0.783,61,182,243,66,27,76,117,112,627
125,James Ennis,SF,26,MEM,64,28,1501,146,321,0.455,51,137,0.372,95,184,0.516,0.534,86,110,0.782,69,190,259,64,46,19,59,165,429
126,Tyler Ennis,PG,22,TOT,53,2,588,90,208,0.433,27,70,0.386,63,138,0.457,0.498,21,25,0.84,9,36,45,86,25,2,45,58,228
126,Tyler Ennis,PG,22,HOU,31,0,196,25,64,0.391,6,16,0.375,19,48,0.396,0.438,2,3,0.667,4,15,19,34,6,0,24,29,58
126,Tyler Ennis,PG,22,LAL,22,2,392,65,144,0.451,21,54,0.389,44,90,0.489,0.524,19,22,0.864,5,21,26,52,19,2,21,29,170
127,Tyreke Evans,SF,27,TOT,40,6,788,150,370,0.405,42,118,0.356,108,252,0.429,0.462,69,92,0.75,13,124,137,124,35,9,61,60,411
127,Tyreke Evans,SF,27,NOP,26,0,474,91,227,0.401,21,70,0.3,70,157,0.446,0.447,45,58,0.776,6,80,86,91,23,4,39,41,248
127,Tyreke Evans,SF,27,SAC,14,6,314,59,143,0.413,21,48,0.438,38,95,0.4,0.486,24,34,0.706,7,44,51,33,12,5,22,19,163
128,Dante Exum,PG,21,UTA,66,26,1228,155,363,0.427,44,149,0.295,111,214,0.519,0.488,58,73,0.795,30,102,132,111,21,12,80,146,412
129,Kenneth Faried,PF,27,DEN,61,34,1296,228,416,0.548,0,6,0,228,410,0.556,0.548,131,189,0.693,183,279,462,55,43,40,59,124,587
130,Jordan Farmar,PG,30,SAC,2,0,35,4,12,0.333,4,9,0.444,0,3,0,0.5,0,0,,1,2,3,9,2,0,3,1,12
131,Derrick Favors,PF,25,UTA,50,39,1186,203,417,0.487,3,10,0.3,200,407,0.491,0.49,67,109,0.615,92,213,305,56,45,40,60,103,476
132,Kay Felder,PG,21,CLE,42,0,386,62,158,0.392,7,22,0.318,55,136,0.404,0.415,35,49,0.714,3,38,41,58,18,7,30,38,166
133,Cristiano Felicio,C,24,CHI,66,0,1040,128,221,0.579,0,0,,128,221,0.579,0.579,60,93,0.645,124,187,311,40,25,17,33,110,316
134,Raymond Felton,PG,32,LAC,80,11,1700,221,514,0.43,46,144,0.319,175,370,0.473,0.475,50,64,0.781,33,185,218,191,66,22,83,125,538
135,Yogi Ferrell,PG,23,TOT,46,29,1197,160,394,0.406,68,176,0.386,92,218,0.422,0.492,74,89,0.831,20,91,111,172,42,9,70,90,462
135,Yogi Ferrell,PG,23,BRK,10,0,151,18,49,0.367,8,27,0.296,10,22,0.455,0.449,10,16,0.625,4,8,12,17,2,2,14,11,54
135,Yogi Ferrell,PG,23,DAL,36,29,1046,142,345,0.412,60,149,0.403,82,196,0.418,0.499,64,73,0.877,16,83,99,155,40,7,56,79,408
136,Dorian Finney-Smith,PF,23,DAL,81,35,1642,124,333,0.372,56,191,0.293,68,142,0.479,0.456,46,61,0.754,55,167,222,67,52,25,45,125,350
137,Bryn Forbes,SG,23,SAS,36,0,285,36,99,0.364,17,53,0.321,19,46,0.413,0.449,5,6,0.833,2,21,23,23,1,0,11,20,94
