Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
840,18,Dec 21 2016,9:00 PM,Wed,Brigham Young,24,,Wyoming,21,,Qualcomm Stadium - San Diego California
841,18,Dec 22 2016,7:00 PM,Thu,Idaho,61,,Colorado State,50,,Albertsons Stadium - Boise Idaho
842,18,Dec 23 2016,4:30 PM,Fri,Louisiana Tech,48,,Navy,45,,Amon G. Carter Stadium - Fort Worth Texas
843,18,Dec 23 2016,1:00 PM,Fri,Old Dominion,24,,Eastern Michigan,20,,Thomas A. Robinson Stadium - Nassau Bahamas
844,18,Dec 23 2016,8:00 PM,Fri,Troy,28,,Ohio,23,,Ladd-Peebles Stadium - Mobile Alabama
845,18,Dec 24 2016,8:00 PM,Sat,Hawaii,52,,Middle Tennessee State,35,,Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu Hawaii
846,18,Dec 26 2016,2:30 PM,Mon,Boston College,36,,Maryland,30,,Ford Field - Detroit Michigan
847,18,Dec 26 2016,11:00 AM,Mon,Mississippi State,17,,Miami (OH),16,,Tropicana Field - St. Petersburg Florida
848,18,Dec 26 2016,5:00 PM,Mon,North Carolina State,41,,Vanderbilt,17,,Independence Stadium - Shreveport Louisiana
849,19,Dec 27 2016,12:00 PM,Tue,Army,38,,North Texas,31,,Cotton Bowl Stadium - Dallas Texas
850,19,Dec 27 2016,10:15 PM,Tue,Baylor,31,,Boise State,12,,Chase Field - Phoenix Arizona
851,19,Dec 27 2016,7:00 PM,Tue,Minnesota,17,,Washington State,12,,Qualcomm Stadium - San Diego California
852,19,Dec 27 2016,3:30 PM,Tue,Wake Forest,34,,(23) Temple,26,,Navy Marine Corps Memorial Stadium - Annapolis Maryland
853,19,Dec 28 2016,9:00 PM,Wed,Kansas State,33,,Texas A&M,28,,NRG Stadium - Houston Texas
854,19,Dec 28 2016,5:30 PM,Wed,Miami (FL),31,,(14) West Virginia,14,,Camping World Stadium - Orlando Florida
855,19,Dec 28 2016,2:00 PM,Wed,Northwestern,31,,(22) Pittsburgh,24,,Yankee Stadium - Bronx New York
856,19,Dec 28 2016,8:30 PM,Wed,Utah,26,,Indiana,24,,Levi's Stadium - Santa Clara California
857,19,Dec 29 2016,9:00 PM,Thu,(13) Oklahoma State,38,,(11) Colorado,8,,Alamodome - San Antonio Texas
858,19,Dec 29 2016,2:00 PM,Thu,(25) South Florida,46,,South Carolina,39,,Legion Field - Birmingham Alabama
859,19,Dec 29 2016,5:30 PM,Thu,(18) Virginia Tech,35,,Arkansas,24,,Bank of America Stadium - Charlotte North Carolina
860,19,Dec 30 2016,5:30 PM,Fri,Air Force,45,,South Alabama,21,,Arizona Stadium - Tucson Arizona
861,19,Dec 30 2016,8:00 PM,Fri,(10) Florida State,33,,(6) Michigan,32,,Hard Rock Stadium - Miami Gardens Florida
862,19,Dec 30 2016,12:00 PM,Fri,Georgia,31,,Texas Christian,23,,Liberty Bowl Memorial Stadium - Memphis Tennessee
863,19,Dec 30 2016,2:00 PM,Fri,(16) Stanford,25,,North Carolina,23,,Sun Bowl Stadium - El Paso Texas
864,19,Dec 30 2016,3:30 PM,Fri,Tennessee,38,,(24) Nebraska,24,,Nissan Stadium - Nashville Tennessee
865,19,Dec 31 2016,3:00 PM,Sat,(1) Alabama,24,,(4) Washington,7,,Georgia Dome - Atlanta Georgia
866,19,Dec 31 2016,7:00 PM,Sat,(3) Clemson,31,,(2) Ohio State,0,,University of Phoenix Stadium - Glendale Arizona
867,19,Dec 31 2016,11:00 AM,Sat,Georgia Tech,33,,Kentucky,18,,EverBank Field - Jacksonville Florida
868,19,Dec 31 2016,11:00 AM,Sat,(19) Louisiana State,29,,(15) Louisville,9,,Camping World Stadium - Orlando Florida
869,20,Jan 2 2017,1:00 PM,Mon,(20) Florida,30,,(21) Iowa,3,,Raymond James Stadium - Tampa Florida
870,20,Jan 2 2017,8:50 PM,Mon,(7) Oklahoma,35,,(17) Auburn,19,,Mercedes-Benz Superdome - New Orleans Louisiana
871,20,Jan 2 2017,5:00 PM,Mon,(9) Southern California,52,,(5) Penn State,49,,Rose Bowl - Pasadena California
872,20,Jan 2 2017,1:00 PM,Mon,(8) Wisconsin,24,,(12) Western Michigan,16,,AT&T Stadium - Arlington Texas
873,21,Jan 9 2017,8:00 PM,Mon,(3) Clemson,35,,(1) Alabama,31,ESPN,Raymond James Stadium - Tampa Florida
