Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
146,3,Sep 10 2016,7:00 PM,Sat,South Florida,48,,Northern Illinois,17,CBSSN,Raymond James Stadium - Tampa Florida
147,3,Sep 10 2016,2:00 PM,Sat,Southern California,45,,Utah State,7,PAC12,Los Angeles Memorial Coliseum - Los Angeles California
148,3,Sep 10 2016,7:00 PM,Sat,Southern Mississippi,56,,Savannah State,0,,M.M. Roberts Stadium - Hattiesburg Mississippi
149,3,Sep 10 2016,1:00 PM,Sat,Temple,38,,Stony Brook,0,ESPN3,Lincoln Financial Field - Philadelphia Pennsylvania
150,3,Sep 10 2016,8:00 PM,Sat,(17) Tennessee,45,,Virginia Tech,24,ABC,Bristol Motor Speedway - Bristol Tennessee
151,3,Sep 10 2016,7:00 PM,Sat,(11) Texas,41,,Texas-El Paso,7,LHN,Darrell K Royal-Texas Memorial Stadium - Austin Texas
152,3,Sep 10 2016,12:00 PM,Sat,(20) Texas A&M,67,,Prairie View A&M,0,SECN,Kyle Field - College Station Texas
153,3,Sep 10 2016,7:00 PM,Sat,Toledo,45,,Maine,3,ESPN3,Glass Bowl - Toledo Ohio
154,3,Sep 10 2016,8:00 PM,Sat,Tulane,66,,Southern,21,ESPN3,Yulman Stadium - New Orleans Louisiana
155,3,Sep 10 2016,8:00 PM,Sat,UCLA,42,,Nevada-Las Vegas,21,PAC12,Rose Bowl - Pasadena California
156,3,Sep 10 2016,7:30 PM,Sat,Utah,20,,Brigham Young,19,,Rice-Eccles Stadium - Salt Lake City Utah
157,3,Sep 10 2016,4:00 PM,Sat,Vanderbilt,47,,Middle Tennessee State,24,SECN,Vanderbilt Stadium - Nashville Tennessee
158,3,Sep 10 2016,3:30 PM,Sat,Wake Forest,24,@,Duke,14,ESPNU,Wallace Wade Stadium - Durham North Carolina
159,3,Sep 10 2016,5:00 PM,Sat,(8) Washington,59,,Idaho,14,PAC12,Husky Stadium - Seattle Washington
160,3,Sep 10 2016,2:00 PM,Sat,West Virginia,38,,Youngstown State,21,,Milan Puskar Stadium - Morgantown West Virginia
161,3,Sep 10 2016,7:00 PM,Sat,Western Michigan,70,,North Carolina Central,21,ESPN3,Waldo Stadium - Kalamazoo Michigan
162,3,Sep 10 2016,3:30 PM,Sat,(10) Wisconsin,54,,Akron,10,BTN,Camp Randall Stadium - Madison Wisconsin
163,4,Sep 15 2016,7:30 PM,Thu,(6) Houston,40,@,Cincinnati,16,ESPN,Nippert Stadium - Cincinnati Ohio
164,4,Sep 16 2016,9:30 PM,Fri,Arizona State,32,@,Texas-San Antonio,28,ESPN2,Alamodome - San Antonio Texas
165,4,Sep 16 2016,8:00 PM,Fri,(21) Baylor,38,@,Rice,10,ESPN,Rice Stadium - Houston Texas
166,4,Sep 16 2016,9:00 PM,Fri,Utah State,34,,Arkansas State,20,CBSSN,Merlin Olsen Field at Maverik Stadium - Logan Utah
167,4,Sep 17 2016,12:00 PM,Sat,Akron,65,@,Marshall,38,CBSSN,Joan C. Edwards Stadium - Huntington West Virginia
168,4,Sep 17 2016,3:30 PM,Sat,(1) Alabama,48,@,(19) Mississippi,43,CBS,Vaught-Hemingway Stadium - Oxford Mississippi
169,4,Sep 17 2016,10:45 PM,Sat,Arizona,47,,Hawaii,28,PAC12,Arizona Stadium - Tucson Arizona
170,4,Sep 17 2016,7:30 PM,Sat,(24) Arkansas,42,,Texas State,3,SECN,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
171,4,Sep 17 2016,7:00 PM,Sat,Army,66,@,Texas-El Paso,14,,Sun Bowl Stadium - El Paso Texas
172,4,Sep 17 2016,3:00 PM,Sat,Ball State,41,,Eastern Kentucky,14,ESPN3,Scheumann Stadium - Muncie Indiana
173,4,Sep 17 2016,10:30 PM,Sat,California,50,,(11) Texas,43,ESPN,Memorial Stadium - Berkeley California
