Player_id,SV_Player_id,Name
2775,n/a,Seung-Jin Ha
1742,n/a,Shammond Williams
1000,n/a,Shandon Anderson
2203,3516,Shane Battier
1049,n/a,Shane Heal
200769,4153,Shannon Brown
406,847,Shaquille O'Neal
949,n/a,Shareef Abdur-Rahim
101213,n/a,Sharrod Ford
2733,3821,Shaun Livingston
101183,3992,Shavlik Randolph
762,n/a,Shawn Bradley
431,n/a,Shawn Kemp
1890,3332,Shawn Marion
200761,4145,Shawne Williams
1035,n/a,Shawnelle Scott
200749,4133,Shelden Williams
428,n/a,Sherman Douglas
2098,n/a,Slava Medvedenko
2582,n/a,Slavko Vranes
2470,n/a,Smush Parker
200780,4161,Solomon Jones
